Par,Importance,AB,Accuracy
Corr.,33.3206439,Dsg3,73.6
Entropy,100.0000000,Dsg3,73.6
Contrast,0.0000000,Dsg3,73.6
Hom.,0.2478418,Dsg3,73.6
Energy,7.5999677,Dsg3,73.6
Mean,16.7887766,Dsg3,73.6
Std,39.3721689,Dsg3,73.6
Corr.,68.352977,E-cad,79.3
Entropy,100.000000,E-cad,79.3
Contrast,4.075808,E-cad,79.3
Hom.,0.000000,E-cad,79.3
Energy,16.186482,E-cad,79.3
Mean,36.207037,E-cad,79.3
Std,88.882956,E-cad,79.3
Corr.,28.392027,IF,70.6
Entropy,99.249134,IF,70.6
Contrast,82.631305,IF,70.6
Hom.,61.546794,IF,70.6
Energy,8.968864,IF,70.6
CV,0.000000,IF,70.6
Iso,54.971263,IF,70.6
Mean,100.000000,IF,70.6
Std,69.538670,IF,70.6
Corr.,70.798739,F-actin,55.2
Entropy,100.000000,F-actin,55.2
Contrast,17.889493,F-actin,55.2
Hom.,0.000000,F-actin,55.2
Energy,8.340789,F-actin,55.2
CV,6.581634,F-actin,55.2
Iso,23.578234,F-actin,55.2
Mean,38.154346,F-actin,55.2
Std,54.412681,F-actin,55.2
Corr.,30.997223,RhoA,67
Entropy,100.000000,RhoA,67
Contrast,30.108638,RhoA,67
Hom.,0.000000,RhoA,67
Energy,7.325349,RhoA,67
Mean,21.531243,RhoA,67
Std,23.514822,RhoA,67